drug	drug_name	indication	indication_name
DB00390	digoxin	C0039240	Supraventricular Tachycardia
DB00391	SULPIRIDE	C0036341	schizophrenia
DB00391	SULPIRIDE	C0017168	gastroesophageal reflux disease (GERD)
DB00391	SULPIRIDE	C0030920	Peptic Ulcer
DB00391	SULPIRIDE	C0003467	anxiety
DB00391	SULPIRIDE	C0042571	vertigo
DB00391	SULPIRIDE	C0022104	irritable bowel syndrome
DB00393	nimodipine	C0038525	Subarachnoid Hemorrhage
DB00393	nimodipine	C0022116	Ischemia
DB00393	nimodipine	C0019080	hemorrhage
DB00394	beclomethasone-dipropionate	C0035455	Rhinitis
DB00394	beclomethasone-dipropionate	C0027430	Nasal Polyps
DB00394	beclomethasone-dipropionate	C0004096	asthma
DB00394	beclomethasone-dipropionate	C2607914	Allergic Rhinitis (Disorder)
DB00394	beclomethasone-dipropionate	C0003811	Cardiac Arrhythmia
DB00394	beclomethasone-dipropionate	C0014356	Enterocolitis
DB00395	carisoprodol	C0004604	Back Pain
DB00395	carisoprodol	C0026838	Muscle Spasticity
DB00395	carisoprodol	C0027121	Myositis
DB00396	progesterone	C0476089	Endometrial Carcinoma
DB00396	progesterone	C0014175	endometriosis
DB00396	progesterone	C0025874	Metrorrhagia
DB00396	progesterone	C0232940	Secondary Physiologic Amenorrhea
DB00396	progesterone	C0002453	amenorrhea
DB00396	progesterone	C0014173	Endometrial Hyperplasia
DB00396	progesterone	C0021359	infertility
DB00396	progesterone	C0021361	Female Infertility
DB00397	Phenylpropanolamine	C2607914	Allergic Rhinitis (Disorder)
DB00397	Phenylpropanolamine	C0027424	Nasal congestion (finding)
DB00397	Phenylpropanolamine	C0010200	Coughing
DB00397	Phenylpropanolamine	C0018621	Hay Fever
DB00397	Phenylpropanolamine	C0035455	Rhinitis
DB00397	Phenylpropanolamine	C0028754	obesity
DB00397	Phenylpropanolamine	C0033117	Priapism
DB00397	Phenylpropanolamine	C0042024	urinary incontinence
DB00398	sorafenib	C0007134	renal cell carcinoma (RCC)
DB00398	sorafenib	C2239176	hepatocellular carcinoma (HCC)
DB00399	zoledronic-acid	C0029456	osteoporosis
DB00399	zoledronic-acid	C0029401	Osteitis Deformans
DB00399	zoledronic-acid	C0029458	Osteoporosis, Postmenopausal
DB00399	zoledronic-acid	C0026764	multiple myeloma
DB00399	zoledronic-acid	C0005967	Bone Neoplasms
DB00399	zoledronic-acid	C0020437	hypercalcemia
DB00400	griseofulvin	C0040261	onychomycosis
DB00401	nisoldipine	C0020538	Hypertensive disease
DB00402	eszopiclone	C0917801	Sleeplessness
DB00404	Alprazolam	C0003467	anxiety
DB00404	Alprazolam	C0338908	Mixed anxiety and depressive disorder
DB00404	Alprazolam	C0030319	panic disorders
DB00405	Dexbrompheniramine	C0343065	Symptomatic Dermographism
DB00405	Dexbrompheniramine	C0018621	Hay Fever
DB00405	Dexbrompheniramine	C0033774	Pruritus
DB00405	Dexbrompheniramine	C0042109	urticaria
DB00405	Dexbrompheniramine	C2607914	Allergic Rhinitis (Disorder)
DB00405	Dexbrompheniramine	C0020517	Hypersensitivity
DB00405	Dexbrompheniramine	C0035457	Rhinitis, Allergic, Perennial
DB00405	Dexbrompheniramine	C0037199	sinusitis
DB00408	loxapine	C0036341	schizophrenia
DB00408	loxapine	C0005586	bipolar disorder
DB00411	carbachol	C0017612	Glaucoma, Open-Angle
DB00411	carbachol	C0017601	glaucoma
DB00413	pramipexole	C0035258	restless leg syndrome
DB00413	pramipexole	C0030567	Parkinson's Disease
DB00413	pramipexole	C0013384	Dyskinetic Syndrome
DB00415	ampicillin	C0008311	Cholangitis
DB00415	ampicillin	C0155862	Streptococcal Pneumonia
DB00415	ampicillin	C0014121	Bacterial Endocarditis
DB00415	ampicillin	C0037199	sinusitis
DB00415	ampicillin	C0025294	Meningococcal Meningitis
DB00415	ampicillin	C0042029	Urinary tract infection
DB00415	ampicillin	C0014836	Escherichia coli Infections
DB00415	ampicillin	C0025289	meningitis
DB00417	penicillin-v-potassium	C0014733	Erysipelas
DB00417	penicillin-v-potassium	C0149704	Gingivostomatitis
DB00417	penicillin-v-potassium	C0032285	pneumonia
DB00418	Secobarbital	C0014544	epilepsy
DB00418	Secobarbital	C0038220	status epilepticus
DB00418	Secobarbital	C0917801	Sleeplessness
DB00418	Secobarbital	C0021603	Sleep Initiation And Maintenance Disorders
DB00419	miglustat	C0017205	Gaucher disease
DB00419	miglustat	C0220756	Niemann-Pick Disease, Type C
DB00419	miglustat	C1961835	Gaucher Disease, Type 1
DB00419	miglustat	C0020517	Hypersensitivity
DB00420	promazine	C0002994	angioedema
DB00420	promazine	C0042963	vomiting
DB00420	promazine	C0343065	Symptomatic Dermographism
DB00420	promazine	C2607914	Allergic Rhinitis (Disorder)
DB00420	promazine	C0033774	Pruritus
DB00420	promazine	C0042109	urticaria
DB00420	promazine	C0027498	Nausea and vomiting
DB00420	promazine	C0162565	acute intermittent porphyria (AIP)
DB00420	promazine	C0033975	Psychotic Disorders
DB00420	promazine	C0027424	Nasal congestion (finding)
DB00420	promazine	C0027497	nausea
DB00420	promazine	C0036341	schizophrenia
DB00421	spironolactone	C0020538	Hypertensive disease
DB00421	spironolactone	C0003962	Ascites
DB00421	spironolactone	C0013604	edema
DB00421	spironolactone	C0020428	hyperaldosteronism
DB00421	spironolactone	C0018802	congestive heart failure
DB00421	spironolactone	C0023890	hepatic cirrhosis
DB00421	spironolactone	C0027726	nephrotic syndrome
DB00421	spironolactone	C0020621	hypokalemia
DB00422	methylphenidate	C1263846	attention-deficit/hyperactivity disorder (ADHD)
DB00422	methylphenidate	C0027404	narcolepsy
DB00423	methocarbamol	C0026838	Muscle Spasticity
DB00423	methocarbamol	C0027121	Myositis
DB00424	hyoscyamine	C0085610	Sinus bradycardia
DB00424	hyoscyamine	C0037036	Sialorrhea
DB00424	hyoscyamine	C0013428	Dysuria
DB00424	hyoscyamine	C0030920	Peptic Ulcer
DB00424	hyoscyamine	C0010692	Cystitis
DB00424	hyoscyamine	C0022104	irritable bowel syndrome
DB00424	hyoscyamine	C0030305	pancreatitis
DB00424	hyoscyamine	C0030567	Parkinson's Disease
DB00424	hyoscyamine	C0035455	Rhinitis
DB00424	hyoscyamine	C0005697	neurogenic bladder
DB00424	hyoscyamine	C0009324	ulcerative colitis
DB00424	hyoscyamine	C0282488	interstitial cystitis (IC)
DB00424	hyoscyamine	C0040822	tremors
DB00425	zolpidem	C0917801	Sleeplessness
DB00427	triprolidine	C0018621	Hay Fever
DB00427	triprolidine	C0042109	urticaria
DB00427	triprolidine	C0033774	Pruritus
DB00427	triprolidine	C0343065	Symptomatic Dermographism
DB00427	triprolidine	C2607914	Allergic Rhinitis (Disorder)
DB00427	triprolidine	C0002994	angioedema
DB00427	triprolidine	C0035457	Rhinitis, Allergic, Perennial
DB00427	triprolidine	C0020517	Hypersensitivity
DB00427	triprolidine	C0011615	Dermatitis, Atopic
DB00429	Carboprost Tromethamine	C0015944	Fetal Membranes, Premature Rupture
DB00432	Trifluridine	C0007102	Malignant Tumor Of Colon
DB00432	Trifluridine	C0022573	Keratoconjunctivitis
DB00433	prochlorperazine	C0036341	schizophrenia
DB00433	prochlorperazine	C0027498	Nausea and vomiting
DB00433	prochlorperazine	C0027497	nausea
DB00433	prochlorperazine	C0042963	vomiting
DB00434	cyproheptadine	C0027424	Nasal congestion (finding)
DB00434	cyproheptadine	C0042109	urticaria
DB00434	cyproheptadine	C0343065	Symptomatic Dermographism
DB00434	cyproheptadine	C2607914	Allergic Rhinitis (Disorder)
DB00434	cyproheptadine	C0033774	Pruritus
DB00434	cyproheptadine	C0020517	Hypersensitivity
DB00434	cyproheptadine	C1527304	Allergic Reaction
DB00434	cyproheptadine	C0002994	angioedema
DB00434	cyproheptadine	C0016470	Food Allergy
DB00434	cyproheptadine	C0018621	Hay Fever
DB00434	cyproheptadine	C0035457	Rhinitis, Allergic, Perennial
DB00434	cyproheptadine	C0013384	Dyskinetic Syndrome
DB00434	cyproheptadine	C0009763	conjunctivitis
DB00435	Nitric Oxide	C0031190	Persistent Fetal Circulation Syndrome
DB00435	Nitric Oxide	C0020542	Pulmonary Hypertension
DB00435	Nitric Oxide	C0004096	asthma
DB00435	Nitric Oxide	C0035220	Respiratory Distress Syndrome, Newborn
DB00436	bendroflumethiazide	C0020538	Hypertensive disease
DB00436	bendroflumethiazide	C0013604	edema
DB00436	bendroflumethiazide	C0018801	Heart Failure
DB00436	bendroflumethiazide	C0018802	congestive heart failure
DB00436	bendroflumethiazide	C0027726	nephrotic syndrome
DB00437	allopurinol	C0018099	gout
DB00437	allopurinol	C0003868	Arthritis, Gouty
DB00437	allopurinol	C0740394	hyperuricemia
DB00437	allopurinol	C0023418	Leukemia
DB00437	allopurinol	C0024299	Lymphoma
DB00437	allopurinol	C0022650	kidney stones
DB00440	trimethoprim	C0042029	Urinary tract infection
DB00440	trimethoprim	C0032285	pneumonia
DB00440	trimethoprim	C0034186	pyelonephritis
DB00440	trimethoprim	C0037199	sinusitis
DB00440	trimethoprim	C0011991	diarrhea
DB00441	gemcitabine	C0007131	Non-Small Cell Lung Carcinoma
DB00441	gemcitabine	C0281361	Adenocarcinoma Pancreas
DB00441	gemcitabine	C1140680	Malignant Neoplasm Of Ovary
DB00441	gemcitabine	C0887833	Carcinoma, Pancreatic Ductal
DB00443	betamethasone	C0015397	Disorder of eye
DB00443	betamethasone	C0027726	nephrotic syndrome
DB00443	betamethasone	C0024141	Lupus Erythematosus, Systemic
DB00443	betamethasone	C0036202	Sarcoidosis
DB00443	betamethasone	C0021390	inflammatory bowel disease
DB00443	betamethasone	C0006114	Cerebral Edema
DB00443	betamethasone	C0036830	Serum Sickness
DB00443	betamethasone	C0036508	seborrheic dermatitis
DB00443	betamethasone	C0019829	Hodgkin's lymphoma
DB00443	betamethasone	C0001627	congenital adrenal hyperplasia
DB00443	betamethasone	C0004096	asthma
DB00443	betamethasone	C0014742	Erythema Multiforme
DB00443	betamethasone	C0037274	Dermatologic disorders
DB00443	betamethasone	C0002994	angioedema
DB00443	betamethasone	C0010346	Crohn's disease
DB00443	betamethasone	C0003873	rheumatoid arthritis
DB00443	betamethasone	C0405580	Adrenal Cortical Hypofunction
DB00443	betamethasone	C0024301	follicular lymphoma
DB00443	betamethasone	C0011606	Exfoliative Dermatitis
DB00443	betamethasone	C0039103	Synovitis
DB00443	betamethasone	C0023052	Laryngeal Edema
DB00443	betamethasone	C0079773	cutaneous T-cell lymphoma (CTCL)
DB00443	betamethasone	C0002875	Cooley's anemia
DB00443	betamethasone	C2607914	Allergic Rhinitis (Disorder)
DB00443	betamethasone	C0030807	Pemphigus
DB00443	betamethasone	C0011616	contact dermatitis
DB00443	betamethasone	C0026948	Mycosis Fungoides
DB00443	betamethasone	C0004364	Autoimmune Diseases
DB00443	betamethasone	C0011615	Dermatitis, Atopic
DB00443	betamethasone	C0026769	multiple sclerosis
DB00443	betamethasone	C0024138	Lupus Erythematosus, Discoid
DB00443	betamethasone	C0002880	Autoimmune Hemolytic Anemia
DB00443	betamethasone	C0023449	Acute Lymphocytic Leukemia
DB00443	betamethasone	C0001403	Addison's disease
DB00443	betamethasone	C0003872	psoriatic arthritis
DB00443	betamethasone	C1260899	Anemia, Diamond-Blackfan
DB00443	betamethasone	C0033860	psoriasis
DB00443	betamethasone	C0003868	Arthritis, Gouty
DB00443	betamethasone	C0005138	Berylliosis
DB00443	betamethasone	C0038013	ankylosing spondylitis
DB00443	betamethasone	C0040147	thyroiditis
DB00443	betamethasone	C0024305	non-Hodgkin lymphoma (NHL)
DB00443	betamethasone	C0015230	Exanthema
DB00443	betamethasone	C0013604	edema
DB00443	betamethasone	C0020517	Hypersensitivity
DB00443	betamethasone	C0015456	Facial Dermatoses
DB00443	betamethasone	C0014356	Enterocolitis
DB00444	teniposide	C0023449	Acute Lymphocytic Leukemia
DB00444	teniposide	C0262584	Carcinoma, Small Cell
DB00444	teniposide	C0023448	Lymphoid Leukemia
DB00445	epirubicin	C0678222	Breast Carcinoma
DB00445	epirubicin	C0006142	Malignant Neoplasm Of Breast
DB00445	epirubicin	C1458155	Mammary Neoplasms
DB00446	chloramphenicol	C0025294	Meningococcal Meningitis
DB00446	chloramphenicol	C0035585	Rickettsia Infections
DB00446	chloramphenicol	C0702166	Acne
DB00446	chloramphenicol	C0025289	meningitis
DB00446	chloramphenicol	C0015967	fever
DB00448	lansoprazole	C0013295	Duodenal Ulcer
DB00448	lansoprazole	C0038358	Gastric Ulcer
DB00448	lansoprazole	C0043515	Zollinger-Ellison syndrome
DB00448	lansoprazole	C0017168	gastroesophageal reflux disease (GERD)
DB00448	lansoprazole	C0030920	Peptic Ulcer
DB00448	lansoprazole	C0041582	Ulcer
DB00448	lansoprazole	C0017181	Gastrointestinal Hemorrhage
DB00448	lansoprazole	C0014868	Esophagitis
DB00448	lansoprazole	C0018834	heartburn
DB00449	dipivefrine	C0017612	Glaucoma, Open-Angle
DB00449	dipivefrine	C0017601	glaucoma
DB00451	levothyroxine	C0020473	hyperlipidemia
DB00451	levothyroxine	C0010308	Congenital Hypothyroidism
DB00451	levothyroxine	C0020676	hypothyroidism
DB00451	levothyroxine	C0677607	Hashimoto Disease
DB00451	levothyroxine	C0018021	goiter
DB00451	levothyroxine	C0020550	hyperthyroidism
DB00454	Pethidine	C0030193	Pain
DB00455	loratadine	C0018621	Hay Fever
DB00455	loratadine	C0027424	Nasal congestion (finding)
DB00455	loratadine	C2607914	Allergic Rhinitis (Disorder)
DB00455	loratadine	C0042109	urticaria
DB00455	loratadine	C0020517	Hypersensitivity
DB00455	loratadine	C0035457	Rhinitis, Allergic, Perennial
DB00457	prazosin	C0020538	Hypertensive disease
DB00457	prazosin	C0018802	congestive heart failure
DB00457	prazosin	C0031511	pheochromocytoma
DB00457	prazosin	C2937421	Prostatic Hyperplasia
DB00457	prazosin	C0034734	Raynaud's disease
DB00458	imipramine	C0011581	Depressive disorder
DB00458	imipramine	C0032768	postherpetic neuralgia
DB00459	acitretin	C0033860	psoriasis
DB00459	acitretin	C0022593	keratosis
DB00461	nabumetone	C0029408	osteoarthritis
DB00461	nabumetone	C0003873	rheumatoid arthritis
DB00462	Methylscopolamine bromide	C0010200	Coughing
DB00462	Methylscopolamine bromide	C0030920	Peptic Ulcer
DB00462	Methylscopolamine bromide	C0027424	Nasal congestion (finding)
DB00462	Methylscopolamine bromide	C0022104	irritable bowel syndrome
DB00462	Methylscopolamine bromide	C2607914	Allergic Rhinitis (Disorder)
DB00464	Sodium Tetradecyl Sulfate	C0042345	varicose veins
DB00467	Enoxacin	C0042029	Urinary tract infection
DB00467	Enoxacin	C0010692	Cystitis
DB00469	tenoxicam	C0003864	Arthritis
DB00469	tenoxicam	C0029408	osteoarthritis
DB00469	tenoxicam	C0003873	rheumatoid arthritis
DB00469	tenoxicam	C0038013	ankylosing spondylitis
DB00471	montelukast	C2607914	Allergic Rhinitis (Disorder)
DB00471	montelukast	C0003811	Cardiac Arrhythmia
DB00471	montelukast	C0004096	asthma
DB00471	montelukast	C0035457	Rhinitis, Allergic, Perennial
DB00472	fluoxetine	C0011581	Depressive disorder
DB00472	fluoxetine	C2267227	bulimia nervosa
DB00472	fluoxetine	C0028768	obsessive compulsive disorder (OCD)
DB00472	fluoxetine	C1269683	Major Depressive Disorder
DB00472	fluoxetine	C0030319	panic disorders
DB00472	fluoxetine	C0005587	Depression, Bipolar
DB00472	fluoxetine	C0005586	bipolar disorder
DB00475	Chlordiazepoxide	C0003467	anxiety
DB00475	Chlordiazepoxide	C0001957	Alcohol Withdrawal Delirium
DB00475	Chlordiazepoxide	C0030920	Peptic Ulcer
DB00475	Chlordiazepoxide	C0022104	irritable bowel syndrome
DB00475	Chlordiazepoxide	C0338908	Mixed anxiety and depressive disorder
DB00475	Chlordiazepoxide	C0236663	Alcohol Withdrawal Syndrome
DB00475	Chlordiazepoxide	C0149821	Alcohol Withdrawal Acute
DB00476	duloxetine	C1269683	Major Depressive Disorder
DB00476	duloxetine	C0231528	muscle pain
DB00476	duloxetine	C0031117	peripheral neuropathy
DB00477	chlorpromazine	C0036341	schizophrenia
DB00477	chlorpromazine	C0027498	Nausea and vomiting
DB00477	chlorpromazine	C0162565	acute intermittent porphyria (AIP)
DB00477	chlorpromazine	C0033975	Psychotic Disorders
DB00477	chlorpromazine	C0236964	Attention Deficit And Disruptive Behavior Disorders
DB00477	chlorpromazine	C0027497	nausea
DB00477	chlorpromazine	C0042963	vomiting
DB00480	lenalidomide	C0026764	multiple myeloma
DB00480	lenalidomide	C0334634	Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse
DB00480	lenalidomide	C0002871	anemia
DB00481	raloxifene	C0029458	Osteoporosis, Postmenopausal
DB00481	raloxifene	C0006142	Malignant Neoplasm Of Breast
DB00481	raloxifene	C0029453	Osteopenia
DB00481	raloxifene	C0029456	osteoporosis
DB00482	celecoxib	C0013390	Dysmenorrhea
DB00482	celecoxib	C0003873	rheumatoid arthritis
DB00482	celecoxib	C0038013	ankylosing spondylitis
DB00482	celecoxib	C0029408	osteoarthritis
DB00482	celecoxib	C0032580	Adenomatous Polyposis Coli
DB00484	brimonidine	C0017612	Glaucoma, Open-Angle
DB00484	brimonidine	C0028840	ocular hypertension
DB00484	brimonidine	C0017601	glaucoma
DB00491	miglitol	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB00491	miglitol	C0020456	hyperglycemia
DB00491	miglitol	C0011849	diabetes mellitus
DB00492	fosinopril	C0020538	Hypertensive disease
DB00492	fosinopril	C0730345	Microalbuminuria
DB00492	fosinopril	C0018802	congestive heart failure
DB00493	cefotaxime	C2242472	Infection of bone
DB00493	cefotaxime	C0031154	peritonitis
DB00493	cefotaxime	C0149725	Lower respiratory tract infection
DB00493	cefotaxime	C0025294	Meningococcal Meningitis
DB00493	cefotaxime	C0025289	meningitis
DB00493	cefotaxime	C0034186	pyelonephritis
DB00494	entacapone	C0030567	Parkinson's Disease
DB00494	entacapone	C0013384	Dyskinetic Syndrome
DB00496	darifenacin	C0085606	Urgency of micturition
DB00496	darifenacin	C0042023	Increased frequency of micturition
DB00496	darifenacin	C0878773	Overactive Bladder
DB00496	darifenacin	C0042024	urinary incontinence
DB00497	Oxycodone	C0034063	Pulmonary Edema
DB00499	flutamide	C0033578	Prostatic Neoplasms
DB00500	tolmetin	C0029408	osteoarthritis
DB00500	tolmetin	C0003873	rheumatoid arthritis
DB00501	cimetidine	C0013295	Duodenal Ulcer
DB00501	cimetidine	C0017168	gastroesophageal reflux disease (GERD)
DB00501	cimetidine	C0043515	Zollinger-Ellison syndrome
DB00501	cimetidine	C0018834	heartburn
DB00501	cimetidine	C0221013	Mastocytosis, Systemic
DB00501	cimetidine	C0027662	Multiple Endocrine Neoplasia
DB00501	cimetidine	C0038358	Gastric Ulcer
DB00501	cimetidine	C0041582	Ulcer
DB00501	cimetidine	C0030920	Peptic Ulcer
DB00501	cimetidine	C0014869	Peptic Esophagitis
DB00501	cimetidine	C0042109	urticaria
DB00502	haloperidol	C0221765	Chronic schizophrenia
DB00502	haloperidol	C0040517	Tourette's disorder
DB00502	haloperidol	C0036341	schizophrenia
DB00502	haloperidol	C0033975	Psychotic Disorders
DB00502	haloperidol	C0013384	Dyskinetic Syndrome
DB00503	Ritonavir	C0524910	Hepatitis C, Chronic
DB00508	triflupromazine	C0033975	Psychotic Disorders
DB00508	triflupromazine	C0027497	nausea
DB00508	triflupromazine	C0042963	vomiting
DB00508	triflupromazine	C0027498	Nausea and vomiting
DB00509	Dextrothyroxine	C0020473	hyperlipidemia
DB00509	Dextrothyroxine	C0020443	hypercholesterolemia
DB00509	Dextrothyroxine	C0020476	Hyperlipoproteinemias
DB00514	dextromethorphan	C2607914	Allergic Rhinitis (Disorder)
DB00514	dextromethorphan	C0010200	Coughing
DB00514	dextromethorphan	C0015967	fever
DB00514	dextromethorphan	C0027424	Nasal congestion (finding)
DB00514	dextromethorphan	C0035455	Rhinitis
DB00515	cisplatin	C1140680	Malignant Neoplasm Of Ovary
DB00515	cisplatin	C1336708	Testicular Germ Cell Tumor
DB00515	cisplatin	C0005684	Malignant Neoplasm Of Urinary Bladder
DB00515	cisplatin	C0004114	astrocytoma
DB00515	cisplatin	C0005695	Bladder Neoplasm
DB00515	cisplatin	C1458155	Mammary Neoplasms
DB00515	cisplatin	C0262584	Carcinoma, Small Cell
DB00515	cisplatin	C0014859	Esophageal Neoplasms
DB00515	cisplatin	C0019829	Hodgkin's lymphoma
DB00515	cisplatin	C0024305	non-Hodgkin lymphoma (NHL)
DB00515	cisplatin	C0026764	multiple myeloma
DB00515	cisplatin	C0027819	neuroblastoma
DB00515	cisplatin	C0029463	osteosarcoma
DB00515	cisplatin	C0919267	Ovarian Neoplasm
DB00515	cisplatin	C0033578	Prostatic Neoplasms
DB00515	cisplatin	C0038356	Stomach Neoplasms
DB00515	cisplatin	C0039590	Testicular Neoplasms
DB00517	Anisotropine Methylbromide	C0038358	Gastric Ulcer
DB00517	Anisotropine Methylbromide	C0030920	Peptic Ulcer
DB00517	Anisotropine Methylbromide	C0041582	Ulcer
DB00519	trandolapril	C0020538	Hypertensive disease
DB00519	trandolapril	C0018802	congestive heart failure
DB00519	trandolapril	C0027051	Myocardial Infarction
DB00521	carteolol	C0017612	Glaucoma, Open-Angle
DB00521	carteolol	C0020538	Hypertensive disease
DB00521	carteolol	C0028840	ocular hypertension
DB00521	carteolol	C0003811	Cardiac Arrhythmia
DB00521	carteolol	C0017601	glaucoma
DB00524	metolazone	C0020538	Hypertensive disease
DB00524	metolazone	C0013604	edema
DB00524	metolazone	C0018802	congestive heart failure
DB00524	metolazone	C0027726	nephrotic syndrome
DB00527	cinchocaine	C0033774	Pruritus
DB00528	lercanidipine	C0020538	Hypertensive disease
DB00528	lercanidipine	C0034734	Raynaud's disease
DB00530	erlotinib	C0007131	Non-Small Cell Lung Carcinoma
DB00530	erlotinib	C0281361	Adenocarcinoma Pancreas
DB00530	erlotinib	C0346647	Malignant Neoplasm Of Pancreas
DB00531	cyclophosphamide	C0024299	Lymphoma
DB00531	cyclophosphamide	C0026764	multiple myeloma
DB00531	cyclophosphamide	C0026948	Mycosis Fungoides
DB00531	cyclophosphamide	C0027819	neuroblastoma
DB00531	cyclophosphamide	C0035335	retinoblastoma
DB00531	cyclophosphamide	C0678222	Breast Carcinoma
DB00531	cyclophosphamide	C0023418	Leukemia
DB00531	cyclophosphamide	C0948216	Ovarian Adenocarcinoma
DB00531	cyclophosphamide	C0027022	Myeloproliferative Disease
DB00531	cyclophosphamide	C0002880	Autoimmune Hemolytic Anemia
DB00531	cyclophosphamide	C1458155	Mammary Neoplasms
DB00531	cyclophosphamide	C0006413	Burkitt's lymphoma
DB00531	cyclophosphamide	C0014170	Endometrial Neoplasms
DB00531	cyclophosphamide	C0019829	Hodgkin's lymphoma
DB00531	cyclophosphamide	C0023449	Acute Lymphocytic Leukemia
DB00531	cyclophosphamide	C0023434	chronic lymphocytic leukemia (CLL)
DB00531	cyclophosphamide	C0023467	Leukemia, Myelocytic, Acute
DB00531	cyclophosphamide	C0023473	chronic myeloid leukemia (CML)
DB00531	cyclophosphamide	C0024121	Lung Neoplasms
DB00531	cyclophosphamide	C0024143	Lupus Nephritis
DB00531	cyclophosphamide	C0026769	multiple sclerosis
DB00531	cyclophosphamide	C0026896	myasthenia gravis
DB00531	cyclophosphamide	C0027726	nephrotic syndrome
DB00531	cyclophosphamide	C0919267	Ovarian Neoplasm
DB00531	cyclophosphamide	C0035412	rhabdomyosarcoma
DB00531	cyclophosphamide	C0553580	Ewing's sarcoma
DB00531	cyclophosphamide	C0039590	Testicular Neoplasms
DB00531	cyclophosphamide	C0024419	Waldenstrom's macroglobulinemia (WM)
DB00535	cefdinir	C0029882	Otitis Media
DB00535	cefdinir	C0037199	sinusitis
DB00535	cefdinir	C0032285	pneumonia
DB00537	ciprofloxacin	C2242472	Infection of bone
DB00537	ciprofloxacin	C0010692	Cystitis
DB00537	ciprofloxacin	C0033581	prostatitis
DB00537	ciprofloxacin	C0149725	Lower respiratory tract infection
DB00537	ciprofloxacin	C0014836	Escherichia coli Infections
DB00537	ciprofloxacin	C0029443	Osteomyelitis
DB00537	ciprofloxacin	C0037199	sinusitis
DB00539	toremifene	C0376358	Malignant Neoplasm Of Prostate
DB00539	toremifene	C1458155	Mammary Neoplasms
DB00539	toremifene	C0027661	Neoplasms, Hormone-Dependent
DB00540	nortriptyline	C0011581	Depressive disorder
DB00541	vincristine	C0035412	rhabdomyosarcoma
DB00541	vincristine	C0027708	Wilm's tumor
DB00541	vincristine	C0024301	follicular lymphoma
DB00541	vincristine	C0023449	Acute Lymphocytic Leukemia
DB00541	vincristine	C0079744	Diffuse Large B-Cell Lymphoma
DB00541	vincristine	C0006413	Burkitt's lymphoma
DB00541	vincristine	C0019829	Hodgkin's lymphoma
DB00541	vincristine	C0027819	neuroblastoma
DB00541	vincristine	C0024305	non-Hodgkin lymphoma (NHL)
DB00541	vincristine	C0085669	Acute Leukemia
DB00541	vincristine	C0024299	Lymphoma
DB00541	vincristine	C0023418	Leukemia
DB00542	benazepril	C0020538	Hypertensive disease
DB00542	benazepril	C0018802	congestive heart failure
DB00543	amoxapine	C0011581	Depressive disorder
DB00544	5-fluorouracil	C0281361	Adenocarcinoma Pancreas
DB00544	5-fluorouracil	C0007102	Malignant Tumor Of Colon
DB00544	5-fluorouracil	C0678222	Breast Carcinoma
DB00544	5-fluorouracil	C0235974	Pancreatic Carcinoma
DB00544	5-fluorouracil	C0699791	Stomach Carcinoma
DB00544	5-fluorouracil	C0006142	Malignant Neoplasm Of Breast
DB00544	5-fluorouracil	C0007095	carcinoid tumors
DB00544	5-fluorouracil	C0278996	Cancer Of Head And Neck
DB00544	5-fluorouracil	C0346647	Malignant Neoplasm Of Pancreas
DB00544	5-fluorouracil	C0007134	renal cell carcinoma (RCC)
DB00544	5-fluorouracil	C1458155	Mammary Neoplasms
DB00544	5-fluorouracil	C0007117	basal cell carcinoma (BCC)
DB00544	5-fluorouracil	C0009375	Colonic Neoplasms
DB00544	5-fluorouracil	C0018671	Head And Neck Neoplasms
DB00544	5-fluorouracil	C0022593	keratosis
DB00544	5-fluorouracil	C0030297	Pancreatic Neoplasm
DB00544	5-fluorouracil	C0034885	Rectal Neoplasms
DB00544	5-fluorouracil	C0038356	Stomach Neoplasms
DB00544	5-fluorouracil	C1527249	colorectal cancer
DB00545	mestinon	C0026896	myasthenia gravis
DB00547	desoximetasone	C0011616	contact dermatitis
DB00547	desoximetasone	C0015230	Exanthema
DB00547	desoximetasone	C0079773	cutaneous T-cell lymphoma (CTCL)
DB00547	desoximetasone	C0036508	seborrheic dermatitis
DB00547	desoximetasone	C0024138	Lupus Erythematosus, Discoid
DB00547	desoximetasone	C0011615	Dermatitis, Atopic
DB00547	desoximetasone	C0015456	Facial Dermatoses
DB00548	Azelaic Acid	C0035854	rosacea
DB00548	Azelaic Acid	C0702166	Acne
DB00549	zafirlukast	C0004096	asthma
DB00550	propylthiouracil	C0020550	hyperthyroidism
DB00550	propylthiouracil	C0018213	Grave's disease
DB00550	propylthiouracil	C0154143	Toxic Multinodular Goiter
DB00550	propylthiouracil	C0018021	goiter
DB00551	Acetohydroxamic Acid	C0042029	Urinary tract infection
DB00552	pentostatin	C0023443	hairy cell leukemia
DB00552	pentostatin	C0002871	anemia
DB00553	methoxsalen	C0079773	cutaneous T-cell lymphoma (CTCL)
DB00553	methoxsalen	C0042900	vitiligo
DB00553	methoxsalen	C0033860	psoriasis
DB00553	methoxsalen	C0026948	Mycosis Fungoides
DB00554	piroxicam	C0029408	osteoarthritis
DB00554	piroxicam	C0003873	rheumatoid arthritis
